orderID,orderDate,requiredDate,shippedDate,shippingStatus,freight,shipperName,productID,productName,categoryName,unitPrice,quantity,discount,netRevenue,customerName,shipCountry
10643,2014-08-25,2014-09-22,2014-09-02,On-Time,29.46,Speedy Express,46,Spegesild,Seafood,12.0,2,0.25,18,Alfreds Futterkiste,Germany
10643,2014-08-25,2014-09-22,2014-09-02,On-Time,29.46,Speedy Express,28,Rössle Sauerkraut,Produce,45.6,15,0.25,513,Alfreds Futterkiste,Germany
10643,2014-08-25,2014-09-22,2014-09-02,On-Time,29.46,Speedy Express,39,Chartreuse verte,Beverages,18.0,21,0.25,283.5,Alfreds Futterkiste,Germany
10692,2014-10-03,2014-10-31,2014-10-13,On-Time,61.02,United Package,63,Vegie-spread,Condiments,43.9,20,0.0,878,Alfreds Futterkiste,Germany
10702,2014-10-13,2014-11-24,2014-10-21,On-Time,23.94,Speedy Express,3,Aniseed Syrup,Condiments,10.0,6,0.0,60,Alfreds Futterkiste,Germany
10702,2014-10-13,2014-11-24,2014-10-21,On-Time,23.94,Speedy Express,76,Lakkaliköri,Beverages,18.0,15,0.0,270,Alfreds Futterkiste,Germany
10835,2015-01-15,2015-02-12,2015-01-21,On-Time,69.53,Federal Shipping,77,Original Frankfurter Grüne Soße,Condiments,13.0,2,0.2,20.8,Alfreds Futterkiste,Germany
10835,2015-01-15,2015-02-12,2015-01-21,On-Time,69.53,Federal Shipping,59,Raclette Courdavault,Dairy Products,55.0,15,0.0,825,Alfreds Futterkiste,Germany
10952,2015-03-16,2015-04-27,2015-03-24,On-Time,40.42,Speedy Express,6,Grandma's Boysenberry Spread,Condiments,25.0,16,0.05,380,Alfreds Futterkiste,Germany
10952,2015-03-16,2015-04-27,2015-03-24,On-Time,40.42,Speedy Express,28,Rössle Sauerkraut,Produce,45.6,2,0.0,91.2,Alfreds Futterkiste,Germany
11011,2015-04-09,2015-05-07,2015-04-13,On-Time,1.21,Speedy Express,71,Flotemysost,Dairy Products,21.5,20,0.0,430,Alfreds Futterkiste,Germany
11011,2015-04-09,2015-05-07,2015-04-13,On-Time,1.21,Speedy Express,58,Escargots de Bourgogne,Seafood,13.25,40,0.05,503.5,Alfreds Futterkiste,Germany
10308,2013-09-18,2013-10-16,2013-09-24,On-Time,1.61,Federal Shipping,70,Outback Lager,Beverages,12.0,5,0.0,60,Ana Trujillo Emparedados y helados,Mexico
10308,2013-09-18,2013-10-16,2013-09-24,On-Time,1.61,Federal Shipping,69,Gudbrandsdalsost,Dairy Products,28.8,1,0.0,28.8,Ana Trujillo Emparedados y helados,Mexico
10625,2014-08-08,2014-09-05,2014-08-14,On-Time,43.9,Speedy Express,42,Singaporean Hokkien Fried Mee,Grains & Cereals,14.0,5,0.0,70,Ana Trujillo Emparedados y helados,Mexico
10625,2014-08-08,2014-09-05,2014-08-14,On-Time,43.9,Speedy Express,60,Camembert Pierrot,Dairy Products,34.0,10,0.0,340,Ana Trujillo Emparedados y helados,Mexico
10625,2014-08-08,2014-09-05,2014-08-14,On-Time,43.9,Speedy Express,14,Tofu,Produce,23.25,3,0.0,69.75,Ana Trujillo Emparedados y helados,Mexico
10759,2014-11-28,2014-12-26,2014-12-12,On-Time,11.99,Federal Shipping,32,Mascarpone Fabioli,Dairy Products,32.0,10,0.0,320,Ana Trujillo Emparedados y helados,Mexico
10926,2015-03-04,2015-04-01,2015-03-11,On-Time,39.92,Federal Shipping,72,Mozzarella di Giovanni,Dairy Products,34.8,10,0.0,348,Ana Trujillo Emparedados y helados,Mexico
10926,2015-03-04,2015-04-01,2015-03-11,On-Time,39.92,Federal Shipping,19,Teatime Chocolate Biscuits,Confections,9.2,7,0.0,64.4,Ana Trujillo Emparedados y helados,Mexico
10926,2015-03-04,2015-04-01,2015-03-11,On-Time,39.92,Federal Shipping,13,Konbu,Seafood,6.0,10,0.0,60,Ana Trujillo Emparedados y helados,Mexico
10926,2015-03-04,2015-04-01,2015-03-11,On-Time,39.92,Federal Shipping,11,Queso Cabrales,Dairy Products,21.0,2,0.0,42,Ana Trujillo Emparedados y helados,Mexico
10365,2013-11-27,2013-12-25,2013-12-02,On-Time,22.0,United Package,11,Queso Cabrales,Dairy Products,16.8,24,0.0,403.2,Antonio Moreno Taquería,Mexico
10507,2014-04-15,2014-05-13,2014-04-22,On-Time,47.45,Speedy Express,43,Ipoh Coffee,Beverages,46.0,15,0.15,586.5,Antonio Moreno Taquería,Mexico
10507,2014-04-15,2014-05-13,2014-04-22,On-Time,47.45,Speedy Express,48,Chocolade,Confections,12.75,15,0.15,162.56,Antonio Moreno Taquería,Mexico
10535,2014-05-13,2014-06-10,2014-05-21,On-Time,15.64,Speedy Express,57,Ravioli Angelo,Grains & Cereals,19.5,5,0.1,87.75,Antonio Moreno Taquería,Mexico
10535,2014-05-13,2014-06-10,2014-05-21,On-Time,15.64,Speedy Express,11,Queso Cabrales,Dairy Products,21.0,50,0.1,945,Antonio Moreno Taquería,Mexico
10535,2014-05-13,2014-06-10,2014-05-21,On-Time,15.64,Speedy Express,40,Boston Crab Meat,Seafood,18.4,10,0.1,165.6,Antonio Moreno Taquería,Mexico
10535,2014-05-13,2014-06-10,2014-05-21,On-Time,15.64,Speedy Express,59,Raclette Courdavault,Dairy Products,55.0,15,0.1,742.5,Antonio Moreno Taquería,Mexico
10573,2014-06-19,2014-07-17,2014-06-20,On-Time,84.84,Federal Shipping,17,Alice Mutton,Meat & Poultry,39.0,18,0.0,702,Antonio Moreno Taquería,Mexico
10573,2014-06-19,2014-07-17,2014-06-20,On-Time,84.84,Federal Shipping,34,Sasquatch Ale,Beverages,14.0,40,0.0,560,Antonio Moreno Taquería,Mexico
10573,2014-06-19,2014-07-17,2014-06-20,On-Time,84.84,Federal Shipping,53,Perth Pasties,Meat & Poultry,32.8,25,0.0,820,Antonio Moreno Taquería,Mexico
10677,2014-09-22,2014-10-20,2014-09-26,On-Time,4.03,Federal Shipping,33,Geitost,Dairy Products,2.5,8,0.15,17,Antonio Moreno Taquería,Mexico
10677,2014-09-22,2014-10-20,2014-09-26,On-Time,4.03,Federal Shipping,26,Gumbär Gummibärchen,Confections,31.23,30,0.15,796.37,Antonio Moreno Taquería,Mexico
10682,2014-09-25,2014-10-23,2014-10-01,On-Time,36.13,United Package,66,Louisiana Hot Spiced Okra,Condiments,17.0,4,0.0,68,Antonio Moreno Taquería,Mexico
10682,2014-09-25,2014-10-23,2014-10-01,On-Time,36.13,United Package,33,Geitost,Dairy Products,2.5,30,0.0,75,Antonio Moreno Taquería,Mexico
10682,2014-09-25,2014-10-23,2014-10-01,On-Time,36.13,United Package,75,Rhönbräu Klosterbier,Beverages,7.75,30,0.0,232.5,Antonio Moreno Taquería,Mexico
10856,2015-01-28,2015-02-25,2015-02-10,On-Time,58.43,United Package,2,Chang,Beverages,19.0,20,0.0,380,Antonio Moreno Taquería,Mexico
10856,2015-01-28,2015-02-25,2015-02-10,On-Time,58.43,United Package,42,Singaporean Hokkien Fried Mee,Grains & Cereals,14.0,20,0.0,280,Antonio Moreno Taquería,Mexico
